Date,Calories (kcal),Heart Points,Heart Minutes,Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Inactive duration (ms),Walking duration (ms)
6/3/20,2116.357955,114,83,13434,9813.440469,0.869064417,1.772304058,0.286407262,120,76221753,6461443
6/4/20,1951.869648,70,49,7542,5527.528829,0.674997741,1.846665621,0.241080627,65,82027775,4220259
6/5/20,2147.623522,72,55,9169,6708.535664,0.809778124,1.79309988,0.267723888,83,75719095,7010675
6/6/20,1669.715514,,,147,34.89619976,0.664980292,0.988103867,0.341856718,,86276443,
6/7/20,1821.559032,58,48,8089,1859.739684,0.779802171,1.902284026,0.306337059,76,83356006,2270097
6/8/20,2162.560079,100,76,14233,10156.3959,1.058389572,1.941770196,0.250983119,149,73980809,7182769
6/9/20,1893.55621,59,40,6636,4724.872116,0.58492666,1.933072329,0.287781477,55,82291385,3190757
6/10/20,1890.511571,37,31,6829,4729.390138,0.776622799,1.809428334,0.25701496,69,80120681,3265870
6/11/20,1973.192201,69,45,7597,5437.407652,0.757123955,1.933424592,0.25701496,69,81554337,4539187
6/12/20,1669.715515,,,332,133.6099419,0.443636583,0.919342399,0.265694588,1,86400000,
6/13/20,1669.715515,,,448,208.6755801,0.726161215,1.326045513,0.298373431,4,86318571,
6/14/20,1674.381831,,,131,37.89677888,0.800797098,1.534706712,0.29017505,,86330259,69741
6/15/20,1669.715515,,,335,134.1728507,1.118930086,1.269509554,0.465555102,2,86400000,
6/16/20,1690.14035,,,1021,465.2508492,0.513087196,1.21370101,0.252637506,9,86094500,305500
6/17/20,1679.46807,,,634,317.140119,0.561574531,1.285190821,0.322214723,6,86254129,145871
6/18/20,1792.201323,1,1,3170,1847.235461,0.673717661,1.539456606,0.2554169,42,84444386,1832055
6/19/20,1669.715518,,,59,22.64324999,,,,,86400000,
6/20/20,2154.416398,52,43,8734,5941.717066,0.87835195,1.762812018,0.249583691,89,78225802,7249808
6/21/20,1851.660414,17,16,5807,3728.900805,0.53225899,1.715926886,0.25701496,71,75146886,2716996
6/22/20,2113.836968,81,58,10137,7353.833156,0.796924581,1.884358048,0.251029998,102,79647771,6632012
6/23/20,2022.153925,58,39,8255,5656.874403,0.830036163,1.846750975,0.25701496,77,80339895,5271522
6/24/20,2299.052787,195,131,22636,16624.33649,0.911891934,1.872608066,0.250911772,215,70738000,9762783
6/25/20,2098.410944,127,85,13406,9368.937726,0.753907808,1.815709829,0.261482626,118,78249468,7077164
6/26/20,1838.653064,64,43,6346,4705.422835,0.968937637,1.877408385,0.274630517,53,82448409,2718955
6/27/20,1817.582909,14,10,3923,2635.246243,0.616318271,1.827665925,0.25701496,44,76154383,2662373
6/28/20,1637.964093,,,227,80.51951444,0.575356833,0.796851218,0.27179125,,84458517,
6/29/20,2205.437069,149,99,17953,12004.15068,1.020357528,1.98612833,0.2413847,179,71741186,8799244
6/30/20,2034.829994,70,47,7250,5319.812046,0.627576111,1.922456741,0.25918299,62,76711276,6170703
7/1/20,2068.392554,62,56,8732,5165.958387,0.82125214,1.860545158,0.274341345,76,79165852,6600520
7/2/20,1787.368107,35,27,6767,4689.023297,0.989068485,1.894101143,0.267723888,78,77842154,2307119
7/3/20,1637.964022,,,241,80.86403608,0.554376645,0.822132945,0.262114108,1,85900284,
